,D1,D2,Cosine,Pearson,Euclidean,EDM,KS,Manhattan,Minkowski,Jaccard,Entropy
108,0-1-0,2-3-0,0.7614247362394582,0.7592635935678426,4.422783993700664,0.0015901074396328847,0.44549285856006854,39.76241811785823,2.514,0.0034782608695652175,0.10785405606976828
109,0-1-0,2-3-1,0.737527848171224,0.7351392148017033,4.637128515535132,0.001590117926877274,0.5248819085276248,41.69515132789144,2.612,0.0035650623885918,0.1321996534970168
110,0-1-0,2-3-2,0.7370842840608129,0.7346907324231101,4.641414955891524,0.00158775482279356,0.3506361296811728,41.75502430819552,2.613,0.0032102728731942215,0.028883613760872673
111,0-1-0,2-3-3,0.7371025474777788,0.7347159105428235,4.641244049081345,0.0016024597076227682,0.189382867733048,41.66146826931487,2.614,0.0031397174254317113,0.012183891107680478
112,0-1-0,3-0-0,0.7728868065085195,0.7709432840710015,4.307164841380154,0.001815020673081418,0.33976628095995043,37.108288062669786,2.482,0.003401360544217687,0.08095430033143913
113,0-1-0,3-0-1,0.748256773827312,0.7460839029993906,4.533066031652694,0.0018128026412928397,0.16924928981273388,39.117246915182236,2.585,0.003134796238244514,0.0034873425267941682
114,0-1-0,3-0-2,0.748645828680087,0.746478854561056,4.528872175842518,0.0018150320089179313,0.19649435810766677,39.06261263695812,2.584,0.0034482758620689655,0.10042652246075401
115,0-1-0,3-0-3,0.7484164283554363,0.7462427557668034,4.531746824744936,0.0018080750659781155,0.16924928981273388,39.13289145277398,2.585,0.0032626427406199023,0.046777285334341445
116,0-1-0,3-1-0,0.7482800517263816,0.7461073529140958,4.53298553866141,0.0018122013829155108,0.13949906748133606,39.131884416190566,2.585,0.0033333333333333335,0.08159873923474414
117,0-1-0,3-1-1,0.7727222145999144,0.7707750062585671,4.308758601767441,0.0018093570366658396,0.14508451090964886,37.175989136611996,2.482,0.0033500837520938024,0.09757293027571945
118,0-1-0,3-1-2,0.7488191912040719,0.7466527212906223,4.5275810124918925,0.0018120172648608476,0.189382867733048,39.053355246283665,2.583,0.003389830508474576,0.0835430675498906
